team_a,team_b,team_a_winrate,team_b_winrate,team_a_avg_scored,team_a_avg_conceded,team_b_avg_scored,team_b_avg_conceded,team_a_h2h_winrate,team_b_h2h_winrate,result
Canada,Haiti,0.8,0.3,3.9,0.8,1.7,0.9,0.6666666666666666,0.16666666666666666,home win
Curaçao,Panama,0.4,0.7,1.9,0.7,2.5,0.9,0.42857142857142855,0.2857142857142857,draw
El Salvador,Saint Kitts and Nevis,0.7,0.4,2.2,0.8,1.5,1.2,0.6666666666666666,0.0,home win
Hungary,Portugal,0.6,0.6,1.7,0.6,2.3,0.6,0.0,0.6923076923076923,away win
Germany,France,0.6,0.7,2.2,1.5,1.7,0.6,0.2903225806451613,0.45161290322580644,away win
Kuwait,Taiwan,0.2,0.2,0.9,1.5,0.9,3.3,1.0,0.0,home win
Turkey,Wales,0.5,0.5,2.0,1.6,0.9,0.8,0.3333333333333333,0.5,away win
Italy,Switzerland,0.9,0.6,2.9,0.1,2.5,1.1,0.4827586206896552,0.13793103448275862,home win
Russia,Finland,0.3,0.4,1.0,1.6,1.2,1.3,0.631578947368421,0.05263157894736842,home win
Denmark,Belgium,0.7,0.8,2.4,0.7,2.7,0.7,0.4,0.4,away win
Ukraine,North Macedonia,0.2,0.5,1.2,1.5,1.9,1.1,0.5,0.25,home win
Netherlands,Austria,0.6,0.5,2.6,1.2,1.5,1.1,0.47368421052631576,0.3157894736842105,home win
Colombia,Venezuela,0.5,0.4,1.4,1.6,1.3,1.4,0.47368421052631576,0.15789473684210525,draw
Brazil,Peru,0.8,0.2,2.3,0.4,0.8,1.7,0.7021276595744681,0.10638297872340426,home win
Croatia,Czech Republic,0.2,0.5,1.2,1.4,1.5,1.1,0.3333333333333333,0.0,draw
England,Scotland,0.8,0.3,1.9,0.4,1.2,1.0,0.41379310344827586,0.3620689655172414,draw
Sweden,Slovakia,0.6,0.4,1.4,1.1,1.2,1.1,0.4,0.0,home win
Chile,Bolivia,0.3,0.2,1.4,1.2,1.5,2.2,0.6666666666666666,0.15555555555555556,home win
Argentina,Uruguay,0.5,0.4,1.9,0.9,1.3,1.1,0.4550561797752809,0.29775280898876405,home win
Spain,Poland,0.4,0.3,1.8,0.6,1.7,1.4,0.8,0.1,draw
Hungary,France,0.5,0.8,1.6,0.9,1.8,0.6,0.5217391304347826,0.34782608695652173,draw
Germany,Portugal,0.5,0.7,2.0,1.5,2.6,0.6,0.5555555555555556,0.16666666666666666,home win
Italy,Wales,1.0,0.5,3.1,0.0,1.0,0.8,0.75,0.25,home win
Switzerland,Turkey,0.6,0.5,2.2,1.1,1.7,1.5,0.26666666666666666,0.5333333333333333,home win
Venezuela,Ecuador,0.3,0.5,0.9,1.3,1.9,1.3,0.3333333333333333,0.5185185185185185,draw
Colombia,Peru,0.5,0.1,1.4,1.3,0.7,2.1,0.3508771929824561,0.2631578947368421,away win
Denmark,Russia,0.6,0.4,2.4,0.9,1.1,1.6,0.09090909090909091,0.8181818181818182,home win
Finland,Belgium,0.3,0.8,1.1,1.4,2.7,0.7,0.36363636363636365,0.2727272727272727,away win
Netherlands,North Macedonia,0.7,0.5,2.7,1.1,1.9,1.2,0.5,0.0,home win
Ukraine,Austria,0.3,0.4,1.4,1.4,1.4,1.3,0.5,0.5,away win
Uruguay,Chile,0.3,0.4,1.2,1.2,1.5,1.2,0.5625,0.2125,draw
Argentina,Paraguay,0.5,0.3,1.4,0.8,1.1,0.9,0.5242718446601942,0.1553398058252427,home win
Scotland,Croatia,0.2,0.2,1.1,1.0,1.2,1.3,0.4,0.0,away win
England,Czech Republic,0.8,0.5,1.9,0.3,1.6,1.1,0.5,0.25,home win
Spain,Slovakia,0.4,0.4,1.9,0.6,1.0,0.9,0.6666666666666666,0.16666666666666666,home win
Sweden,Poland,0.7,0.2,1.5,0.8,1.5,1.5,0.5384615384615384,0.3076923076923077,home win
Germany,Hungary,0.6,0.5,2.1,1.4,1.7,1.0,0.38235294117647056,0.3235294117647059,draw
Portugal,France,0.6,0.7,2.5,1.0,1.7,0.6,0.24,0.68,draw
Ecuador,Peru,0.4,0.2,1.8,1.5,0.9,2.1,0.32,0.42,draw
Brazil,Colombia,0.9,0.4,2.6,0.3,1.4,1.5,0.59375,0.09375,home win
Bolivia,Uruguay,0.1,0.3,1.2,2.2,1.2,1.2,0.16666666666666666,0.6666666666666666,away win
Chile,Paraguay,0.3,0.3,1.3,1.1,1.0,0.9,0.4426229508196721,0.45901639344262296,away win
Italy,Austria,1.0,0.4,2.8,0.0,1.2,1.3,0.4444444444444444,0.3333333333333333,home win
Wales,Denmark,0.5,0.6,1.0,0.9,2.6,1.0,0.4,0.6,away win
Netherlands,Czech Republic,0.8,0.5,2.9,1.0,1.6,1.1,0.2727272727272727,0.45454545454545453,away win
Belgium,Portugal,0.8,0.5,2.7,0.6,2.0,1.2,0.2777777777777778,0.3333333333333333,home win
Brazil,Ecuador,1.0,0.4,2.8,0.3,2.0,1.6,0.8125,0.0625,draw
Venezuela,Peru,0.2,0.2,0.9,1.5,1.0,2.2,0.23529411764705882,0.5882352941176471,away win
Croatia,Spain,0.3,0.5,1.2,1.1,2.3,0.5,0.375,0.5,away win
France,Switzerland,0.7,0.7,1.9,0.6,2.4,1.0,0.42105263157894735,0.3157894736842105,draw
Argentina,Bolivia,0.5,0.1,1.4,0.8,1.2,1.9,0.6923076923076923,0.1794871794871795,home win
Uruguay,Paraguay,0.3,0.3,1.2,1.1,1.1,0.9,0.41333333333333333,0.3333333333333333,home win
England,Germany,0.8,0.5,1.7,0.3,2.2,1.6,0.40625,0.40625,home win
Sweden,Ukraine,0.8,0.3,1.8,0.8,1.3,1.2,0.25,0.5,away win
Switzerland,Spain,0.7,0.6,2.6,1.2,2.7,0.7,0.045454545454545456,0.7272727272727273,draw
Belgium,Italy,0.8,1.0,2.6,0.6,2.8,0.1,0.18181818181818182,0.6363636363636364,away win
Peru,Paraguay,0.3,0.3,1.1,2.1,1.1,1.0,0.3018867924528302,0.4339622641509434,draw
Brazil,Chile,0.9,0.3,2.6,0.4,1.2,1.1,0.704225352112676,0.11267605633802817,home win
Czech Republic,Denmark,0.5,0.6,1.7,1.1,2.8,0.9,0.2727272727272727,0.18181818181818182,away win
Ukraine,England,0.4,0.9,1.5,1.0,1.9,0.1,0.14285714285714285,0.5714285714285714,away win
Uruguay,Colombia,0.4,0.3,1.1,0.9,1.4,1.7,0.47619047619047616,0.2857142857142857,draw
Argentina,Ecuador,0.6,0.4,1.6,0.7,2.1,1.6,0.5833333333333334,0.1388888888888889,home win
Brazil,Peru,0.9,0.3,2.2,0.4,1.2,2.2,0.7083333333333334,0.10416666666666667,home win
Argentina,Colombia,0.6,0.2,1.8,0.7,1.1,1.7,0.5,0.23684210526315788,draw
Italy,Spain,1.0,0.5,2.8,0.2,2.2,0.8,0.2972972972972973,0.2972972972972973,draw
England,Denmark,0.9,0.7,1.9,0.1,2.8,0.6,0.5714285714285714,0.19047619047619047,home win
Peru,Colombia,0.3,0.2,1.0,1.9,1.0,1.6,0.27586206896551724,0.3448275862068966,away win
Brazil,Argentina,0.9,0.5,1.9,0.2,1.7,0.7,0.4056603773584906,0.3584905660377358,away win
England,Italy,0.9,0.9,1.6,0.2,2.7,0.3,0.2962962962962963,0.37037037037037035,draw
Central African Republic,Cape Verde,0.2,0.4,0.7,1.8,1.1,0.9,0.0,0.0,draw
Mali,Rwanda,0.5,0.4,1.4,0.7,1.1,0.5,0.5,0.0,home win
Egypt,Angola,0.6,0.4,1.4,0.4,1.0,0.9,0.6,0.0,home win
Libya,Gabon,0.1,0.5,0.8,1.8,1.3,1.1,0.6666666666666666,0.3333333333333333,home win
Senegal,Togo,0.5,0.1,1.4,0.8,0.7,1.1,0.23529411764705882,0.47058823529411764,home win
Guinea-Bissau,Guinea,0.5,0.6,1.2,1.0,1.2,0.8,0.3076923076923077,0.38461538461538464,draw
Portugal,Republic of Ireland,0.5,0.1,2.0,1.2,0.7,1.1,0.5384615384615384,0.3076923076923077,home win
Luxembourg,Azerbaijan,0.3,0.1,0.7,1.2,0.5,0.9,0.2,0.2,home win
Kazakhstan,Ukraine,0.1,0.4,0.6,1.6,1.4,1.3,0.0,0.8,draw
France,Bosnia and Herzegovina,0.6,0.0,2.1,0.9,0.3,1.5,0.6,0.0,draw
Faroe Islands,Israel,0.2,0.4,1.3,1.5,1.3,1.4,0.0,0.6666666666666666,away win
Denmark,Scotland,0.6,0.2,2.7,0.8,1.1,1.2,0.375,0.625,home win
Moldova,Austria,0.1,0.3,0.3,2.4,1.1,1.4,0.16666666666666666,0.8333333333333334,away win
Norway,Netherlands,0.5,0.7,1.3,1.1,2.6,1.1,0.25,0.45,draw
Latvia,Gibraltar,0.3,0.1,1.8,1.9,0.3,2.6,0.5,0.5,home win
Turkey,Montenegro,0.4,0.4,1.5,1.6,1.4,0.8,0.5,0.0,draw
Malta,Cyprus,0.3,0.2,1.2,1.5,0.4,1.5,0.16666666666666666,0.5,home win
Slovenia,Slovakia,0.5,0.3,1.6,0.5,0.8,1.3,0.42857142857142855,0.2857142857142857,draw
